# Number, ALPHA_J2000, DELTA_J2000, MAG_CAT_1, MAG_CAT_2
1,56.871005866502,23.401239324063432,17.565187,19.042723
2,56.39060741632113,23.4025441048527,16.572186,17.909449
3,57.39942377980271,23.400224360700843,17.059109,18.07029
4,56.20025292420242,23.40315945461508,16.297104,18.308456
5,57.13328474579491,23.401042660070583,16.580761,17.655552
6,56.33808836920658,23.403036651171178,16.511774,18.10681
7,57.25290072938513,23.400911978281997,17.104053,18.478245
8,56.63682659447249,23.40250631362959,12.8934965,14.189443
9,57.28400533981668,23.40111899999437,15.808315,17.132298
10,56.60590759907306,23.402727576621185,17.234287,18.323624
11,56.5574286947455,23.4027857875344,17.514414,18.5522
12,56.77583271489205,23.40241969472983,15.72602,17.010149
13,56.90704341547343,23.4021275305043,18.226233,17.908329
14,56.98301797737567,23.40199986858459,17.621878,18.826462
15,57.33408361432522,23.40136587919735,15.66639,17.000254
16,57.56453010978617,23.40102610656708,17.64214,18.742199
17,57.47435247956825,23.401191837103827,13.855987,15.124628
18,57.04332947223659,23.40214348771543,16.914373,17.943384
19,56.364238118338456,23.40384194922645,15.528313,16.687998
20,56.767728394409964,23.402842823346905,14.358773,15.610827
21,57.28512983619461,23.40179800432403,16.013252,18.093477
22,56.60301458440499,23.403297549818234,17.40722,19.144896
23,57.59840632307845,23.40131728178581,17.210945,18.613245
24,57.643826706811836,23.401385383767092,16.547962,18.683136
25,57.285891977544274,23.40217174076351,18.470175,19.12836
26,56.549087162163744,23.40438009449288,17.345634,18.948374
27,56.86339279750571,23.403557730106847,15.095627,16.813463
28,57.484220799890814,23.40228706624164,15.69888,17.824114
29,56.41970241581519,23.404711957593783,16.604235,18.659119
30,57.06099798632835,23.403366548515972,12.937827,14.404679
31,57.22999601063996,23.40297184122361,18.539307,19.337309
32,56.79188713083601,23.40414445834934,13.739009,15.8324585
33,57.020726086578875,23.403682725443268,12.668474,13.945719
34,56.18230262871445,23.405918782087614,17.238914,18.738874
35,56.663127633523246,23.404729882438698,15.192791,17.21021
36,56.420313539870484,23.405507572281966,15.315252,17.073442
37,56.22700605521127,23.40600756951772,16.462343,17.978954
38,57.45584875599529,23.403299015701805,10.725994,11.994055
39,57.18402890709834,23.403912470659225,16.711365,17.994535
40,57.23118632879367,23.40382461909361,15.83019,18.166834
41,57.42860973412566,23.403740135470557,14.556561,16.183651
42,57.54122324479005,23.403622289928318,16.680614,18.524628
43,56.284528299171356,23.406725085654905,16.06786,17.441898
44,57.367252508707544,23.404313210804183,17.305574,18.746164
45,56.466834063826454,23.406456317354394,14.778213,16.03497
46,57.43958707906439,23.40421455908034,16.067438,18.104052
47,56.46504559371429,23.406640633198084,16.166723,17.199436
48,56.61453181610826,23.406383424795795,14.701364,16.158852
49,57.31503263393338,23.404826235017435,15.092986,16.173769
